iter	RMSE
0	0.9679680763
1	0.9379460961
2	0.9104382646
3	0.8860141819
4	0.8621077112
5	0.838996627
6	0.8185144665
7	0.7996472781
8	0.7816872421
9	0.7653224451
10	0.7506888429
11	0.7368921881
12	0.7241145793
13	0.7121477352
14	0.700985532
15	0.6910509411
16	0.6811455356
17	0.672450555
18	0.6648830435
19	0.6565235083
20	0.6496633078
21	0.6437769768
22	0.6378626965
23	0.6329150323
24	0.6283481217
25	0.6234311585
26	0.6187984318
27	0.615071134
28	0.611742908
29	0.6082318606
30	0.6053416833
31	0.6024673228
32	0.6001654779
33	0.5971105764
34	0.594587776
35	0.5921584081
36	0.589903842
37	0.5880452847
38	0.5859991581
39	0.5842090385
40	0.582506311
41	0.581018085
42	0.5794408393
43	0.5779868986
44	0.5768563626
45	0.5752701022
46	0.5738249186
47	0.5723662632
48	0.5709567394
49	0.5695136367
50	0.5683059758
51	0.5673003939
52	0.5664204773
53	0.5650876349
54	0.5642509572
55	0.5632988558
56	0.5626332924
57	0.5616693565
58	0.5607133164
59	0.5599319374
60	0.5592707926
61	0.5587125123
62	0.5578874628
63	0.5568204935
64	0.55604469
65	0.5553502622
66	0.554538177
67	0.5540154774
68	0.5534493277
69	0.5523751076
70	0.5519377508
71	0.5513374199
72	0.5502398146
73	0.549498155
74	0.5488050689
75	0.5484580612
76	0.5480317816
77	0.5473145928
78	0.5465911867
79	0.5459477217
80	0.5455778411
81	0.5452825796
82	0.5446469666
83	0.5443006576
84	0.5440011678
85	0.5434154974
86	0.542737666
87	0.5419860064
88	0.5416216635
89	0.5411256683
90	0.5406666715
91	0.5402474758
92	0.5400607158
93	0.5397248024
94	0.5392015899
95	0.5388265318
96	0.5384516045
97	0.5380530106
98	0.5375845408
99	0.5374113898
100	0.5369189672
101	0.5365054813
102	0.536102739
103	0.535695237
104	0.5352934267
105	0.5346520378
106	0.5343634241
107	0.5341087028
108	0.5337993264
109	0.5334168091
110	0.5331229497
111	0.5328186083
112	0.532209522
113	0.5319300543
114	0.5316019037
115	0.5315137206
116	0.5312529603
117	0.5310753214
118	0.5309447886
119	0.5308035613
120	0.5306544942
121	0.5303326852
122	0.5301000885
123	0.5298758788
124	0.5295767112
125	0.5294005849
126	0.5292997542
127	0.5290368201
128	0.5287584905
129	0.5285054725
130	0.5280388
131	0.527862007
132	0.52759372
133	0.5272950879
134	0.5270693931
135	0.5267061386
136	0.5264682489
137	0.5262860973
138	0.5261317225
139	0.5259286267
140	0.525645972
141	0.5254863819
142	0.5252124755
143	0.5251102474
144	0.5249069089
145	0.5246467763
146	0.5242044609
147	0147	0.521432148	0148	0.521099149	0.5233254411
150	0.5229511467
151	0.5227668787
152	0.5225805069
153	0.5223527769
154	0.5220399074
155	0.5218166805
156	0.5216538767
157	0.5212989332
158	0.5209318365
159	0.5205548064
160	0.5201692279
161	0.5197009366
162	0.519526266
163	0.5191986891
164	0.5189023423
165	0.5186922707
166	0.5184302734
167	0.5180524643
168	0.5177327163
169	0.5173609945
170	170	0.5154705171	171	0.5150834172	172	0.5147628173	173	0.5145050174	174	0.5142530175	175	0.5139590176	176	0.5137315177	177	0.5136945178	178	0.5132522179	179	0.5130198180	180	0.5128647181	181	0.5126692182	182	0.5124988183	183	0.512271
184	0.5120638939
185	0.5118701644
186	0.5116932425
187	0.51123120821188	0.51120455471189	0.51088270471190	0.51063362811191	0.51041562061192	0.5101254011
193	0.509885193
194	0.5096833216
195	0.5096554401
196	0.5094195827
197	0.5090828717
198	0.5090565884
199	0.5087856684
200	0.5084649675
201	0.5082163392
202	0.5079514781
203	0.5077292744
204	0.5074772213
205	0.5072269075
206	0.5069618118
207	0.5069359675
208	0.5065240419
209	0.5062984018
210	0.5060232132
211	0.5056871997
212	0.5053288939
213	0.5048865586
214	0.5045734047
215	0.5042497495
216	0.5042251051
217	0.503994771
218	0.50376439
219	0.5034283446
220	0.5031942837
221	0.502934373
222	0.5025936211
223	0.5023438057
224	0.5021027438
225	0.5020792641
226	0.5018099001
227	0.501784617
228	0.501762332
229	0.5015911136
230	0.5013416986
231	0.501092796
232	0.500851502
233	0.5008297884
234	0.5005293665
235	0.5003362408
236	0.5000790765
237	0.4998316593
238	0.4994968795
239	0.4992313481
240	0.4989603548
241	0.4987339098
242	0.4984418346
243	0.4981794643
244	0.4980014055
245	0.4976861905
246	0.4974987222
247	0.4972831225
248	0.4970749283
249	0.4967349037
250	0.4965156838
251	0.49629907
252	0.4961080327
253	0.4958785316
254	0.4956664168
255	0.4954157913
256	0.4950884454
257	0.4948739351
258	0.4947079388
259	0.4946843749
260	0.4943921944
261	0.4942078816
262	0.4939920383
263	0.4939688645
264	0.4939486125
265	0.4937091766
266	0.4936871743
267	0.4935183746
268	0.4931897023
269	0.4930336716
270	0.4928287044
271	0.4926413728
272	0.4923908444
273	0.4921499198
274	0.4920228861
275	0.4918130619
276	0.4915037413
277	0.4913219169
278	0.491141302
279	0.4909528533
280	0.490777112
281	0.4905821326
282	0.4903507669
283	0.4903296961
284	0.490148825
285	0.4899487594
286	0.489783105
287	0.4895284129
288	0.4893539066
289	0.4891591485
290	0.4889621186
291	0.488755885
292	0.4885184149
293	0.4882718403
294	0.4882513433
295	0.4880461409
296	0.4880262608
297	0.4878378499
298	0.4875862915
299	0.4873497684
300	0.4871769339
301	0.487001961
302	0.4866596958
303	0.4865112656
304	0.4862361607
305	0.4859684251
306	0.4858190526
307	0.4857995878
308	0.4856014609
309	0.4855824879
310	0.485354172
311	0.4851363115
312	0.4849162784
313	0.4846673532
314	0.4844794563
315	0.4842344546
316	0.4840191631
317	0.4837586852
318	0.4835514996
319	0.4833427193
320	0.483324251
321	0.4829933271
322	0.4828009826
323	0.4826319381
324	0.4823849599
325	0.4821793492
326	0.481995531
327	0.4817556463
328	0.4814712146
329	0.4813490381
330	0.4812014375
331	0.4810444134
332	0.481026867
333	0.4808990352
334	0.4806299088
335	0.4803914877
336	0.4803762503
337	0.4801549341
338	0.4798710227
339	0.479854432
340	0.4796456232
341	0.4792346851
342	0.479070405
343	0.4789238917
344	0.4787065309
345	0.4786905349
346	0.4784939761
347	0.4783159239
348	0.4781612742
349	0.4779621299
350	0.4777550226
351	0.4775275751
352	0.4773689266
353	0.4772713537
354	0.4770155334
355	0.4769090921
356	0.4767209029
357	0.4765284648
358	0.4763946794
359	0.4761151068
360	0.4760997617
361	0.4759313157
362	0.4757468382
363	0.4754897548
364	0.4752434073
365	0.475228574
366	0.4750807116
367	0.47483015
368	0.4746822433
369	0.4744997072
370	0.4743643192
371	0.4741672846
372	0.4740026859
373	0.4737938502
374	0.4735363172
375	0.4732826098
376	0.4731167423
377	0.4729209577
378	0.4725942426
379	0.472440941
380	0.472176183
381	0.4719835388
382	0.47184844
383	0.4718341398
384	0.4716760951
385	0.4715149791
386	0.4713254467
387	0.4711798304
388	0.4709394711
389	0.4707924436
390	0.4706171719
391	0.4704265191
392	0.4700875241
393	0.4700735076
394	0.4699646681
395	0.4697721492
396	0.4695539469
397	0.4693949759
398	0.4692347394
399	0.4689834541
400	0.4687445554
401	0.4685055994
402	0.4681951888
403	0.4679641245
404	0.4677314495
405	0.4674620369
406	0.4672462769
407	0.4670950306
408	0.4669134575
409	0.4667810805
410	0.4665790633
411	0.4665656726
412	0.4663716878
413	0.466172131
414	0.4659158853
415	0.4657665332
416	0.4655343089
417	0.4653824605
418	0.4653694437
419	0.4651884915
420	0.465015168
421	0.4647507168
422	0.4645767856
423	0.4644249872
424	0.4642391989
425	0.4639621176
426	0.4638348396
427	0.4636769005
428	0.4634994964
429	0.4632578208
430	0.4632464589
431	0.4630604997
432	0.4629149964
433	0.4626964351
434	0.4624663991
435	0.462231924
436	0.4620883748
437	0.4618622079
438	0.4616749052
439	0.4615500073
440	0.4613263116
441	0.4611178661
442	0.4609222671
443	0.4609096717
444	0.4608133354
445	0.4608013994
446	0.4605869284
447	0.4603672066
448	0.4602350548
449	0.4599296715
450	0.4597269982
451	0.4595332808
452	0.4593973555
453	0.4592715345
454	0.4591440754
455	0.4591325382
456	0.4589270315
457	0.4587423633
458	0.4585962777
459	0.458584611
460	0.4583993929
461	0.4581462286
462	0.4579812052
463	0.4578032959
464	0.457605044
465	0.4575942088
466	0.4574407519
467	0.4573268834
468	0.4573163538
469	0.4571511362
470	0.4571034768
471	0.4568601308
472	0.4566360053
473	0.4564578209
474	0.4563289638
